language: [پارسی]
countries: [IR, FA]

"Oops! There\'s an issue with your playback device settings.\r\nBefore we can get started, please go through the " = "اوه! مشکلی در تنظیمات دستگاه پخش شما وجود دارد.\r\nقبل از اینکه شروع کنیم، لطفاً موارد زیر را بررسی کنید."
"troubleshooting steps here." = "مراحل عیب‌یابی را اینجا انجام دهید."
" if you\'re still having problems." = "اگر همچنان مشکل دارید."
"Contact us" = "تماس با ما"
"Error in system audio configuration. Unable to run FxSound" = "خطا در پیکربندی صدای سیستم. اجرای FxSound امکان‌پذیر نیست."
"OK" = "باشه"
"Click here to see what\'s new on this version!" = "برای دیدن موارد جدید در این نسخه اینجا کلیک کنید!"
"FxSound in system tray\r\nClick FxSound icon to reopen" = "FxSound در نوار سیستم\r\nبرای باز کردن مجدد روی آیکون FxSound کلیک کنید."
"Thanks for using FxSound! Would you be\r\ninterested in helping us by taking a quick 4 minute\r\nsurvey so we can make FxSound better?" = "از استفاده از FxSound متشکریم! آیا مایلید با تکمیل یک نظرسنجی ۴ دقیقه‌ای به ما کمک کنید تا FxSound بهتر شود؟"
"Take the survey." = "شرکت در نظرسنجی."
"Changes to your preset are not saved.\r\nDo you want to exit?" = "تغییرات تنظیمات شما ذخیره نشده است.\r\nآیا می‌خواهید خارج شوید؟"
"Changes to your preset are not saved.\r\nDo you want to ignore the changes?" = "تغییرات تنظیمات شما ذخیره نشده است.\r\nآیا می‌خواهید تغییرات را نادیده بگیرید؟"
"Output Disconnected" = "خروجی قطع شده است."
"Output: " = "خروجی: "
"Changes to preset %s are saved." = "تغییرات در تنظیمات %s ذخیره شد."
"New preset %s is saved." = "تنظیمات جدید %s ذخیره شد."
"Reached the limit on new presets." = "به حد مجاز تنظیمات جدید رسیده‌اید."
"Preset %s is deleted." = "تنظیمات %s حذف شد."
"Presets are restored to factory defaults" = "تنظیمات به حالت پیش‌فرض کارخانه بازنشانی شد."
"Preset file %s already exists in the export path, do you want to overwrite the preset file?" = "فایل تنظیمات %s در مسیر خروجی موجود است، آیا می‌خواهید آن را بازنویسی کنید؟"
"FxSound is %s." = "FxSound %s است."
"on" = "روشن"
"off" = "خاموش"
"Preset: " = "تنظیمات: "
"Clarity" = "وضوح"
"Ambience" = "محیط"
"Surround Sound" = "صدای فراگیر"
"Dynamic Boost" = "افزایش پویا"
"Bass Boost" = "افزایش بیس"
"Enhances and elevates high end\r\nfidelity and presence" = "وضوح و حضور صدا را در فرکانس‌های بالا بهبود می‌بخشد."
"Thickens and smooths audio\r\nwith controlled reverberation" = "صدای ضخیم‌تر و یکنواخت‌تر با کنترل بازتاب صدا."
"Widens the left-right balance\r\nfor expansive, wide sound" = "تعادل چپ-راست را برای صدای گسترده‌تر افزایش می‌دهد."
"Increases overall volume and balance\r\nwith responsive processing" = "حجم کلی و تعادل صدا را با پردازش واکنش‌گرا افزایش می‌دهد."
"Boosts low end for full,\r\nimpactful response" = "بیس پایین را برای پاسخگویی کامل و قوی افزایش می‌دهد."
"Super-low Bass. Increase this for more rumble and \"thump\", decrease if there\'s too much boominess." = "بیس فوق‌العاده پایین. این مقدار را برای بیس قوی‌تر افزایش دهید و در صورت افزایش بیش از حد کاهش دهید."
"Center of your Bass sound. Increase this for a fuller low end, decrease if the bass sounds overwhelming." = "مرکز صدای بیس شما. این مقدار را برای بیس پرتر افزایش دهید و در صورت زیاد بودن کاهش دهید."
"The low end of your mid-range. Increase this to make vocals sound rich and warm, decrease it to help control instruments that sound loud and muffled." = "انتهای پایین بازه میانه. این مقدار را برای صدای غنی‌تر و گرم‌تر افزایش دهید و برای کنترل سازهای بلند و خفه کاهش دهید."
"A focal point of the low-mid-range. Increase this to bring out electric guitars and vocal volume, decrease it to reduce any \"boxy\" tones." = "نقطه کانونی بازه میانه-پایین. این مقدار را برای برجسته کردن صدای گیتار الکتریک و خواننده افزایش دهید و برای کاهش تُن‌های خفه و جعبه‌ای کاهش دهید."
"The center mid-range band. Increase this to drastically boost rhythm instruments and snare hits, reduce it to cut out \"nasal\" tones." = "باند میانی بازه میانه. این مقدار را برای تقویت چشمگیر سازهای ریتمیک و ضربه‌های طبل افزایش دهید و برای حذف تُن‌های بینی کاهش دهید."
"The high-mid-range. Increase this to get more instrumental harmonics, reduce it to improve drums that have too much \"clickiness\" or orchestral instruments that are piercing." = "بازه میانه-بالا. این مقدار را برای افزایش هارمونیک‌های سازها افزایش دهید و برای بهبود صدای طبل‌های تیز و سازهای ارکستری که نافذ هستند کاهش دهید."
"The lower end of the high-end range. Increase this for more vocal clarity and articulation, reduce it and move the frequency wheel up and down to find and cut out overly loud \"S\" and \"T\" sounds." = "انتهای پایین بازه فرکانس بالا. این مقدار را برای وضوح و شفافیت بیشتر صدا افزایش دهید و برای حذف صدای زیاد \"س\" و \"ت\" کاهش دهید."
"The core high-end range. Increase this to make your audio sound more like it\'s in an airy, large space, reduce it to help with room noises and unwanted echoing." = "بازه مرکزی فرکانس‌های بالا. این مقدار را برای صدایی بزرگ و شفاف افزایش دهید و برای کاهش نویز اتاق و اکوهای ناخواسته کاهش دهید."
"The highest range of average human hearing. Increase this to give your sound more of a crisp tone, with lots of overtones. Reduce it to remove hiss or painfully high sounds." = "بالاترین بازه شنوایی انسان. این مقدار را برای ایجاد تُن واضح‌تر با هارمونیک‌های بیشتر افزایش دهید و برای حذف صدای هیس یا تُن‌های بسیار بلند کاهش دهید."
"This wheel allows you to adjust which frequencies this EQ band is affecting\r\nup or down to target different frequencies/pitches. The EQ slider above\r\ncontrols the volume of this EQ band. Increase or decrease to boost or cut\r\na portion of your audio\'s frequencies, without modifying the rest of your sound." = "این چرخ به شما اجازه می‌دهد فرکانس‌هایی که این باند EQ تأثیر می‌گذارد را بالا یا پایین تنظیم کنید تا فرکانس‌ها/گام‌های مختلف را هدف بگیرید. نوار لغزنده EQ بالایی حجم این باند EQ را کنترل می‌کند. برای تقویت یا کاهش بخشی از فرکانس‌های صدای خود این مقدار را تغییر دهید، بدون تأثیر بر باقی صدا."
"SUBSCRIBE NOW" = "همین حالا مشترک شوید"
"Yes" = "بله"
"No" = "خیر"
"Export Presets" = "صادرات تنظیمات"
"Export" = "صادر کردن"
"Select the presets to export..." = "تنظیمات مورد نظر برای صادرات را انتخاب کنید..."
"Presets are exported successfully!" = "تنظیمات با موفقیت صادر شدند!"
"Presets successfully imported" = "تنظیمات با موفقیت وارد شدند"
